
==== Start experiment: replay capacity (max_mem_size)=1000, batch_size=128 ====
[buffer 1000] >>> SUCCESS #1 | ep 0 | score 9401.53 | last_reward 3000.0 | loss 0.000 | eps 0.900 | steps 99 | mem 99/1000 | tries_since_last=0 | 31 ms
[buffer 20000] >>> SUCCESS #22 | ep 47 | score 9445.16 | last_reward 3000.0 | loss 24.508 | eps 0.050 | steps 88 | mem 3313/20000 | tries_since_last=0 | 161 ms
[buffer 20000] ep    47 | SUCCESS | score   9445.16 | last_reward 3000.0 | loss  24.508 | eps 0.050 | steps   88 | mem 3313/20000 | tries_since_last=0 | 161 ms
[buffer 20000] >>> SUCCESS #23 | ep 48 | score 9455.05 | last_reward 3000.0 | loss 22.371 | eps 0.050 | steps 88 | mem 3401/20000 | tries_since_last=0 | 153 ms
[buffer 20000] ep    48 | SUCCESS | score   9455.05 | last_reward 3000.0 | loss  22.371 | eps 0.050 | steps   88 | mem 3401/20000 | tries_since_last=0 | 153 ms
[buffer 20000] >>> SUCCESS #24 | ep 49 | score 9463.29 | last_reward 3000.0 | loss 19.150 | eps 0.050 | steps 88 | mem 3489/20000 | tries_since_last=0 | 163 ms
[buffer 20000] ep    49 | SUCCESS | score   9463.29 | last_reward 3000.0 | loss  19.150 | eps 0.050 | steps   88 | mem 3489/20000 | tries_since_last=0 | 163 ms
[buffer 20000] >>> SUCCESS #25 | ep 50 | score 9508.17 | last_reward 3000.0 | loss 23.704 | eps 0.050 | steps 89 | mem 3578/20000 | tries_since_last=0 | 153 ms
[buffer 20000] ep    50 | SUCCESS | score   9508.17 | last_reward 3000.0 | loss  23.704 | eps 0.050 | steps   89 | mem 3578/20000 | tries_since_last=0 | 153 ms
[buffer 20000] >>> SUCCESS #26 | ep 51 | score 9507.31 | last_reward 3000.0 | loss 23.732 | eps 0.050 | steps 89 | mem 3667/20000 | tries_since_last=0 | 155 ms
[buffer 20000] ep    51 | SUCCESS | score   9507.31 | last_reward 3000.0 | loss  23.732 | eps 0.050 | steps   89 | mem 3667/20000 | tries_since_last=0 | 155 ms
[buffer 20000] >>> SUCCESS #27 | ep 52 | score 9511.36 | last_reward 3000.0 | loss 22.340 | eps 0.050 | steps 89 | mem 3756/20000 | tries_since_last=0 | 163 ms
[buffer 20000] ep    52 | SUCCESS | score   9511.36 | last_reward 3000.0 | loss  22.340 | eps 0.050 | steps   89 | mem 3756/20000 | tries_since_last=0 | 163 ms
[buffer 20000] >>> SUCCESS #28 | ep 53 | score 9453.31 | last_reward 3000.0 | loss 22.888 | eps 0.050 | steps 88 | mem 3844/20000 | tries_since_last=0 | 156 ms
[buffer 20000] ep    53 | SUCCESS | score   9453.31 | last_reward 3000.0 | loss  22.888 | eps 0.050 | steps   88 | mem 3844/20000 | tries_since_last=0 | 156 ms
[buffer 20000] >>> SUCCESS #29 | ep 54 | score 9436.79 | last_reward 3000.0 | loss 24.770 | eps 0.050 | steps 88 | mem 3932/20000 | tries_since_last=0 | 162 ms
[buffer 20000] ep    54 | SUCCESS | score   9436.79 | last_reward 3000.0 | loss  24.770 | eps 0.050 | steps   88 | mem 3932/20000 | tries_since_last=0 | 162 ms
[buffer 20000] >>> SUCCESS #30 | ep 55 | score 9449.99 | last_reward 3000.0 | loss 44.193 | eps 0.050 | steps 88 | mem 4020/20000 | tries_since_last=0 | 158 ms
[buffer 20000] ep    55 | SUCCESS | score   9449.99 | last_reward 3000.0 | loss  44.193 | eps 0.050 | steps   88 | mem 4020/20000 | tries_since_last=0 | 158 ms
[buffer 20000] >>> SUCCESS #31 | ep 56 | score 9468.73 | last_reward 3000.0 | loss 44.195 | eps 0.050 | steps 89 | mem 4109/20000 | tries_since_last=0 | 158 ms
[buffer 20000] ep    56 | SUCCESS | score   9468.73 | last_reward 3000.0 | loss  44.195 | eps 0.050 | steps   89 | mem 4109/20000 | tries_since_last=0 | 158 ms
[buffer 20000] >>> SUCCESS #32 | ep 57 | score 9506.00 | last_reward 3000.0 | loss 29.945 | eps 0.050 | steps 89 | mem 4198/20000 | tries_since_last=0 | 162 ms
[buffer 20000] ep    57 | SUCCESS | score   9506.00 | last_reward 3000.0 | loss  29.945 | eps 0.050 | steps   89 | mem 4198/20000 | tries_since_last=0 | 162 ms
[buffer 20000] >>> SUCCESS #33 | ep 58 | score 9437.06 | last_reward 3000.0 | loss 24.734 | eps 0.050 | steps 88 | mem 4286/20000 | tries_since_last=0 | 160 ms
[buffer 20000] ep    58 | SUCCESS | score   9437.06 | last_reward 3000.0 | loss  24.734 | eps 0.050 | steps   88 | mem 4286/20000 | tries_since_last=0 | 160 ms
[buffer 20000] >>> SUCCESS #34 | ep 59 | score 9452.21 | last_reward 3000.0 | loss 25.962 | eps 0.050 | steps 88 | mem 4374/20000 | tries_since_last=0 | 162 ms
[buffer 20000] ep    59 | SUCCESS | score   9452.21 | last_reward 3000.0 | loss  25.962 | eps 0.050 | steps   88 | mem 4374/20000 | tries_since_last=0 | 162 ms
[buffer 20000] >>> SUCCESS #35 | ep 60 | score 9448.25 | last_reward 3000.0 | loss 22.206 | eps 0.050 | steps 88 | mem 4462/20000 | tries_since_last=0 | 146 ms
[buffer 20000] ep    60 | SUCCESS | score   9448.25 | last_reward 3000.0 | loss  22.206 | eps 0.050 | steps   88 | mem 4462/20000 | tries_since_last=0 | 146 ms
[buffer 20000] >>> SUCCESS #36 | ep 61 | score 9445.53 | last_reward 3000.0 | loss 29.378 | eps 0.050 | steps 88 | mem 4550/20000 | tries_since_last=0 | 167 ms
[buffer 20000] ep    61 | SUCCESS | score   9445.53 | last_reward 3000.0 | loss  29.378 | eps 0.050 | steps   88 | mem 4550/20000 | tries_since_last=0 | 167 ms
[buffer 20000] >>> SUCCESS #37 | ep 62 | score 9453.97 | last_reward 3000.0 | loss 28.314 | eps 0.050 | steps 88 | mem 4638/20000 | tries_since_last=0 | 157 ms
[buffer 20000] ep    62 | SUCCESS | score   9453.97 | last_reward 3000.0 | loss  28.314 | eps 0.050 | steps   88 | mem 4638/20000 | tries_since_last=0 | 157 ms
[buffer 20000] >>> SUCCESS #38 | ep 63 | score 9442.36 | last_reward 3000.0 | loss 25.999 | eps 0.050 | steps 88 | mem 4726/20000 | tries_since_last=0 | 160 ms
[buffer 20000] ep    63 | SUCCESS | score   9442.36 | last_reward 3000.0 | loss  25.999 | eps 0.050 | steps   88 | mem 4726/20000 | tries_since_last=0 | 160 ms
[buffer 20000] >>> SUCCESS #39 | ep 64 | score 9437.26 | last_reward 3000.0 | loss 22.249 | eps 0.050 | steps 88 | mem 4814/20000 | tries_since_last=0 | 152 ms
[buffer 20000] ep    64 | SUCCESS | score   9437.26 | last_reward 3000.0 | loss  22.249 | eps 0.050 | steps   88 | mem 4814/20000 | tries_since_last=0 | 152 ms
[buffer 20000] >>> SUCCESS #40 | ep 65 | score 9434.60 | last_reward 3000.0 | loss 26.618 | eps 0.050 | steps 88 | mem 4902/20000 | tries_since_last=0 | 158 ms
[buffer 20000] ep    65 | SUCCESS | score   9434.60 | last_reward 3000.0 | loss  26.618 | eps 0.050 | steps   88 | mem 4902/20000 | tries_since_last=0 | 158 ms
[buffer 20000] >>> SUCCESS #41 | ep 66 | score 9451.67 | last_reward 3000.0 | loss 24.868 | eps 0.050 | steps 88 | mem 4990/20000 | tries_since_last=0 | 156 ms
[buffer 20000] ep    66 | SUCCESS | score   9451.67 | last_reward 3000.0 | loss  24.868 | eps 0.050 | steps   88 | mem 4990/20000 | tries_since_last=0 | 156 ms
[buffer 20000] >>> SUCCESS #42 | ep 67 | score 9454.89 | last_reward 3000.0 | loss 29.068 | eps 0.050 | steps 88 | mem 5078/20000 | tries_since_last=0 | 152 ms
[buffer 20000] ep    67 | SUCCESS | score   9454.89 | last_reward 3000.0 | loss  29.068 | eps 0.050 | steps   88 | mem 5078/20000 | tries_since_last=0 | 152 ms
[buffer 20000] >>> SUCCESS #43 | ep 68 | score 9443.89 | last_reward 3000.0 | loss 31.245 | eps 0.050 | steps 88 | mem 5166/20000 | tries_since_last=0 | 155 ms
[buffer 20000] ep    68 | SUCCESS | score   9443.89 | last_reward 3000.0 | loss  31.245 | eps 0.050 | steps   88 | mem 5166/20000 | tries_since_last=0 | 155 ms
[buffer 20000] >>> SUCCESS #44 | ep 69 | score 9448.55 | last_reward 3000.0 | loss 27.477 | eps 0.050 | steps 88 | mem 5254/20000 | tries_since_last=0 | 144 ms
[buffer 20000] ep    69 | SUCCESS | score   9448.55 | last_reward 3000.0 | loss  27.477 | eps 0.050 | steps   88 | mem 5254/20000 | tries_since_last=0 | 144 ms
[buffer 20000] >>> SUCCESS #45 | ep 70 | score 9441.56 | last_reward 3000.0 | loss 26.694 | eps 0.050 | steps 88 | mem 5342/20000 | tries_since_last=0 | 156 ms
[buffer 20000] ep    70 | SUCCESS | score   9441.56 | last_reward 3000.0 | loss  26.694 | eps 0.050 | steps   88 | mem 5342/20000 | tries_since_last=0 | 156 ms
[buffer 20000] >>> SUCCESS #46 | ep 71 | score 9439.91 | last_reward 3000.0 | loss 25.601 | eps 0.050 | steps 88 | mem 5430/20000 | tries_since_last=0 | 148 ms
[buffer 20000] ep    71 | SUCCESS | score   9439.91 | last_reward 3000.0 | loss  25.601 | eps 0.050 | steps   88 | mem 5430/20000 | tries_since_last=0 | 148 ms
[buffer 20000] >>> SUCCESS #47 | ep 72 | score 9449.70 | last_reward 3000.0 | loss 28.588 | eps 0.050 | steps 89 | mem 5519/20000 | tries_since_last=0 | 165 ms
[buffer 20000] ep    72 | SUCCESS | score   9449.70 | last_reward 3000.0 | loss  28.588 | eps 0.050 | steps   89 | mem 5519/20000 | tries_since_last=0 | 165 ms
[buffer 20000] >>> SUCCESS #48 | ep 73 | score 9487.04 | last_reward 3000.0 | loss 29.034 | eps 0.050 | steps 89 | mem 5608/20000 | tries_since_last=0 | 157 ms
[buffer 20000] ep    73 | SUCCESS | score   9487.04 | last_reward 3000.0 | loss  29.034 | eps 0.050 | steps   89 | mem 5608/20000 | tries_since_last=0 | 157 ms
[buffer 20000] >>> SUCCESS #49 | ep 74 | score 9486.81 | last_reward 3000.0 | loss 24.674 | eps 0.050 | steps 89 | mem 5697/20000 | tries_since_last=0 | 154 ms
[buffer 20000] ep    74 | SUCCESS | score   9486.81 | last_reward 3000.0 | loss  24.674 | eps 0.050 | steps   89 | mem 5697/20000 | tries_since_last=0 | 154 ms
[buffer 20000] >>> SUCCESS #50 | ep 75 | score 9472.11 | last_reward 3000.0 | loss 25.390 | eps 0.050 | steps 90 | mem 5787/20000 | tries_since_last=0 | 165 ms
[buffer 20000] ep    75 | SUCCESS | score   9472.11 | last_reward 3000.0 | loss  25.390 | eps 0.050 | steps   90 | mem 5787/20000 | tries_since_last=0 | 165 ms

==== Summary (capacity=20000) ====
episodes: 76
successes: 50
success_rate: 0.658
avg_score: 6989.23
std_score: 3545.75
avg_loss: 20.424
avg_epsilon: 0.317
avg_tries: 0.52
tries_std: 3.26
time_min: 0.15
episodes_per_min: 507.1



==== Start experiment: replay capacity (max_mem_size)=100000, batch_size=128 ====
[buffer 100000] ep     0 | fail    | score   1936.13 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   43 | mem 43/100000 | tries=1 | 1 ms
[buffer 100000] ep     1 | fail    | score   1244.78 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   36 | mem 79/100000 | tries=2 | 1 ms
[buffer 100000] ep     2 | fail    | score   2734.84 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   70 | mem 149/100000 | tries=3 | 2 ms
[buffer 100000] ep     3 | fail    | score   2418.76 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   49 | mem 198/100000 | tries=4 | 1 ms
[buffer 100000] ep     4 | fail    | score   2543.24 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   58 | mem 256/100000 | tries=5 | 2 ms
[buffer 100000] ep     5 | fail    | score   1584.09 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   41 | mem 297/100000 | tries=6 | 1 ms
[buffer 100000] ep     6 | fail    | score   4813.67 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   89 | mem 386/100000 | tries=7 | 2 ms
[buffer 100000] ep     7 | fail    | score   2042.71 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   44 | mem 430/100000 | tries=8 | 1 ms
[buffer 100000] >>> SUCCESS #1 | ep 8 | score 9403.66 | last_reward 3000.0 | loss 0.000 | eps 0.900 | steps 102 | mem 532/100000 | tries_since_last=8 | 3 ms
[buffer 100000] ep     8 | SUCCESS | score   9403.66 | last_reward 3000.0 | loss   0.000 | eps 0.900 | steps  102 | mem 532/100000 | tries_since_last=8 | 3 ms
[buffer 100000] ep     9 | fail    | score   2970.78 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   66 | mem 598/100000 | tries=1 | 2 ms
[buffer 100000] ep    10 | fail    | score   2962.43 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   57 | mem 655/100000 | tries=2 | 3 ms
[buffer 100000] >>> SUCCESS #2 | ep 11 | score 9493.81 | last_reward 3000.0 | loss 0.000 | eps 0.900 | steps 106 | mem 761/100000 | tries_since_last=2 | 3 ms
[buffer 100000] ep    11 | SUCCESS | score   9493.81 | last_reward 3000.0 | loss   0.000 | eps 0.900 | steps  106 | mem 761/100000 | tries_since_last=2 | 3 ms
[buffer 100000] ep    12 | fail    | score    960.61 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   36 | mem 797/100000 | tries=1 | 2 ms
[buffer 100000] ep    13 | fail    | score   1010.10 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   46 | mem 843/100000 | tries=2 | 1 ms
[buffer 100000] ep    14 | fail    | score   3886.29 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   84 | mem 927/100000 | tries=3 | 2 ms
[buffer 100000] ep    15 | fail    | score   2095.81 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   48 | mem 975/100000 | tries=4 | 2 ms
[buffer 100000] ep    16 | fail    | score   4161.80 | last_reward -500.0 | loss  63.395 | eps 0.844 | steps   80 | mem 1055/100000 | tries=5 | 101 ms
[buffer 100000] >>> SUCCESS #3 | ep 17 | score 9435.29 | last_reward 3000.0 | loss 60.645 | eps 0.746 | steps 98 | mem 1153/100000 | tries_since_last=5 | 162 ms
[buffer 100000] ep    17 | SUCCESS | score   9435.29 | last_reward 3000.0 | loss  60.645 | eps 0.746 | steps   98 | mem 1153/100000 | tries_since_last=5 | 162 ms
[buffer 100000] ep    18 | fail    | score    830.03 | last_reward -500.0 | loss  46.673 | eps 0.717 | steps   29 | mem 1182/100000 | tries=1 | 50 ms
[buffer 100000] ep    19 | fail    | score    838.36 | last_reward -500.0 | loss  47.742 | eps 0.687 | steps   30 | mem 1212/100000 | tries=2 | 55 ms
[buffer 100000] ep    20 | fail    | score   1066.47 | last_reward -500.0 | loss  41.475 | eps 0.657 | steps   30 | mem 1242/100000 | tries=3 | 57 ms
[buffer 100000] ep    21 | fail    | score    874.55 | last_reward -500.0 | loss  34.754 | eps 0.626 | steps   31 | mem 1273/100000 | tries=4 | 57 ms
[buffer 100000] ep    22 | fail    | score    856.27 | last_reward -500.0 | loss  28.355 | eps 0.590 | steps   36 | mem 1309/100000 | tries=5 | 66 ms
[buffer 100000] ep    23 | fail    | score   2060.19 | last_reward -500.0 | loss  25.148 | eps 0.543 | steps   47 | mem 1356/100000 | tries=6 | 83 ms
[buffer 100000] ep    24 | fail    | score   1092.82 | last_reward -500.0 | loss  20.924 | eps 0.502 | steps   41 | mem 1397/100000 | tries=7 | 80 ms
[buffer 100000] ep    25 | fail    | score   2881.01 | last_reward -500.0 | loss  20.690 | eps 0.445 | steps   57 | mem 1454/100000 | tries=8 | 121 ms
[buffer 100000] >>> SUCCESS #4 | ep 26 | score 9428.82 | last_reward 3000.0 | loss 17.420 | eps 0.353 | steps 92 | mem 1546/100000 | tries_since_last=8 | 188 ms
[buffer 100000] ep    26 | SUCCESS | score   9428.82 | last_reward 3000.0 | loss  17.420 | eps 0.353 | steps   92 | mem 1546/100000 | tries_since_last=8 | 188 ms
[buffer 100000] >>> SUCCESS #5 | ep 27 | score 9451.78 | last_reward 3000.0 | loss 18.100 | eps 0.261 | steps 92 | mem 1638/100000 | tries_since_last=0 | 177 ms
[buffer 100000] ep    27 | SUCCESS | score   9451.78 | last_reward 3000.0 | loss  18.100 | eps 0.261 | steps   92 | mem 1638/100000 | tries_since_last=0 | 177 ms
[buffer 100000] >>> SUCCESS #6 | ep 28 | score 9442.64 | last_reward 3000.0 | loss 19.162 | eps 0.170 | steps 91 | mem 1729/100000 | tries_since_last=0 | 178 ms
[buffer 100000] ep    28 | SUCCESS | score   9442.64 | last_reward 3000.0 | loss  19.162 | eps 0.170 | steps   91 | mem 1729/100000 | tries_since_last=0 | 178 ms
[buffer 100000] >>> SUCCESS #7 | ep 29 | score 9492.14 | last_reward 3000.0 | loss 19.100 | eps 0.081 | steps 89 | mem 1818/100000 | tries_since_last=0 | 193 ms
[buffer 100000] ep    29 | SUCCESS | score   9492.14 | last_reward 3000.0 | loss  19.100 | eps 0.081 | steps   89 | mem 1818/100000 | tries_since_last=0 | 193 ms
[buffer 100000] >>> SUCCESS #8 | ep 30 | score 9502.32 | last_reward 3000.0 | loss 21.073 | eps 0.050 | steps 89 | mem 1907/100000 | tries_since_last=0 | 178 ms
[buffer 100000] ep    30 | SUCCESS | score   9502.32 | last_reward 3000.0 | loss  21.073 | eps 0.050 | steps   89 | mem 1907/100000 | tries_since_last=0 | 178 ms
[buffer 100000] >>> SUCCESS #9 | ep 31 | score 9495.46 | last_reward 3000.0 | loss 15.565 | eps 0.050 | steps 89 | mem 1996/100000 | tries_since_last=0 | 203 ms
[buffer 100000] ep    31 | SUCCESS | score   9495.46 | last_reward 3000.0 | loss  15.565 | eps 0.050 | steps   89 | mem 1996/100000 | tries_since_last=0 | 203 ms
[buffer 100000] >>> SUCCESS #10 | ep 32 | score 9495.26 | last_reward 3000.0 | loss 21.116 | eps 0.050 | steps 89 | mem 2085/100000 | tries_since_last=0 | 161 ms
[buffer 100000] ep    32 | SUCCESS | score   9495.26 | last_reward 3000.0 | loss  21.116 | eps 0.050 | steps   89 | mem 2085/100000 | tries_since_last=0 | 161 ms
[buffer 100000] >>> SUCCESS #11 | ep 33 | score 9513.57 | last_reward 3000.0 | loss 19.832 | eps 0.050 | steps 89 | mem 2174/100000 | tries_since_last=0 | 170 ms
[buffer 100000] ep    33 | SUCCESS | score   9513.57 | last_reward 3000.0 | loss  19.832 | eps 0.050 | steps   89 | mem 2174/100000 | tries_since_last=0 | 170 ms
[buffer 100000] >>> SUCCESS #12 | ep 34 | score 9456.37 | last_reward 3000.0 | loss 23.862 | eps 0.050 | steps 88 | mem 2262/100000 | tries_since_last=0 | 190 ms
[buffer 100000] ep    34 | SUCCESS | score   9456.37 | last_reward 3000.0 | loss  23.862 | eps 0.050 | steps   88 | mem 2262/100000 | tries_since_last=0 | 190 ms
[buffer 100000] >>> SUCCESS #13 | ep 35 | score 9514.22 | last_reward 3000.0 | loss 22.419 | eps 0.050 | steps 89 | mem 2351/100000 | tries_since_last=0 | 175 ms
[buffer 100000] ep    35 | SUCCESS | score   9514.22 | last_reward 3000.0 | loss  22.419 | eps 0.050 | steps   89 | mem 2351/100000 | tries_since_last=0 | 175 ms
[buffer 100000] >>> SUCCESS #14 | ep 36 | score 9452.69 | last_reward 3000.0 | loss 19.034 | eps 0.050 | steps 88 | mem 2439/100000 | tries_since_last=0 | 166 ms
[buffer 100000] ep    36 | SUCCESS | score   9452.69 | last_reward 3000.0 | loss  19.034 | eps 0.050 | steps   88 | mem 2439/100000 | tries_since_last=0 | 166 ms
[buffer 100000] >>> SUCCESS #15 | ep 37 | score 9454.82 | last_reward 3000.0 | loss 21.527 | eps 0.050 | steps 88 | mem 2527/100000 | tries_since_last=0 | 175 ms
[buffer 100000] ep    37 | SUCCESS | score   9454.82 | last_reward 3000.0 | loss  21.527 | eps 0.050 | steps   88 | mem 2527/100000 | tries_since_last=0 | 175 ms
[buffer 100000] >>> SUCCESS #16 | ep 38 | score 9452.02 | last_reward 3000.0 | loss 24.255 | eps 0.050 | steps 88 | mem 2615/100000 | tries_since_last=0 | 163 ms
[buffer 100000] ep    38 | SUCCESS | score   9452.02 | last_reward 3000.0 | loss  24.255 | eps 0.050 | steps   88 | mem 2615/100000 | tries_since_last=0 | 163 ms
[buffer 100000] >>> SUCCESS #17 | ep 39 | score 9450.95 | last_reward 3000.0 | loss 23.839 | eps 0.050 | steps 88 | mem 2703/100000 | tries_since_last=0 | 174 ms
[buffer 100000] ep    39 | SUCCESS | score   9450.95 | last_reward 3000.0 | loss  23.839 | eps 0.050 | steps   88 | mem 2703/100000 | tries_since_last=0 | 174 ms
[buffer 100000] >>> SUCCESS #18 | ep 40 | score 9447.56 | last_reward 3000.0 | loss 27.805 | eps 0.050 | steps 88 | mem 2791/100000 | tries_since_last=0 | 173 ms
[buffer 100000] ep    40 | SUCCESS | score   9447.56 | last_reward 3000.0 | loss  27.805 | eps 0.050 | steps   88 | mem 2791/100000 | tries_since_last=0 | 173 ms
[buffer 100000] >>> SUCCESS #19 | ep 41 | score 9455.16 | last_reward 3000.0 | loss 21.049 | eps 0.050 | steps 88 | mem 2879/100000 | tries_since_last=0 | 167 ms
[buffer 100000] ep    41 | SUCCESS | score   9455.16 | last_reward 3000.0 | loss  21.049 | eps 0.050 | steps   88 | mem 2879/100000 | tries_since_last=0 | 167 ms
[buffer 100000] >>> SUCCESS #20 | ep 42 | score 9453.73 | last_reward 3000.0 | loss 24.803 | eps 0.050 | steps 88 | mem 2967/100000 | tries_since_last=0 | 164 ms
[buffer 100000] ep    42 | SUCCESS | score   9453.73 | last_reward 3000.0 | loss  24.803 | eps 0.050 | steps   88 | mem 2967/100000 | tries_since_last=0 | 164 ms
[buffer 100000] >>> SUCCESS #21 | ep 43 | score 9442.29 | last_reward 3000.0 | loss 24.315 | eps 0.050 | steps 88 | mem 3055/100000 | tries_since_last=0 | 160 ms
[buffer 100000] ep    43 | SUCCESS | score   9442.29 | last_reward 3000.0 | loss  24.315 | eps 0.050 | steps   88 | mem 3055/100000 | tries_since_last=0 | 160 ms
[buffer 100000] >>> SUCCESS #22 | ep 44 | score 9472.09 | last_reward 3000.0 | loss 22.575 | eps 0.050 | steps 92 | mem 3147/100000 | tries_since_last=0 | 155 ms
[buffer 100000] ep    44 | SUCCESS | score   9472.09 | last_reward 3000.0 | loss  22.575 | eps 0.050 | steps   92 | mem 3147/100000 | tries_since_last=0 | 155 ms
[buffer 100000] >>> SUCCESS #23 | ep 45 | score 9445.97 | last_reward 3000.0 | loss 24.082 | eps 0.050 | steps 88 | mem 3235/100000 | tries_since_last=0 | 186 ms
[buffer 100000] ep    45 | SUCCESS | score   9445.97 | last_reward 3000.0 | loss  24.082 | eps 0.050 | steps   88 | mem 3235/100000 | tries_since_last=0 | 186 ms
[buffer 100000] >>> SUCCESS #24 | ep 46 | score 9441.62 | last_reward 3000.0 | loss 29.373 | eps 0.050 | steps 88 | mem 3323/100000 | tries_since_last=0 | 164 ms
[buffer 100000] ep    46 | SUCCESS | score   9441.62 | last_reward 3000.0 | loss  29.373 | eps 0.050 | steps   88 | mem 3323/100000 | tries_since_last=0 | 164 ms
[buffer 100000] >>> SUCCESS #25 | ep 47 | score 9455.47 | last_reward 3000.0 | loss 23.710 | eps 0.050 | steps 88 | mem 3411/100000 | tries_since_last=0 | 165 ms
[buffer 100000] ep    47 | SUCCESS | score   9455.47 | last_reward 3000.0 | loss  23.710 | eps 0.050 | steps   88 | mem 3411/100000 | tries_since_last=0 | 165 ms
[buffer 100000] >>> SUCCESS #26 | ep 48 | score 9507.53 | last_reward 3000.0 | loss 23.225 | eps 0.050 | steps 91 | mem 3502/100000 | tries_since_last=0 | 181 ms
[buffer 100000] ep    48 | SUCCESS | score   9507.53 | last_reward 3000.0 | loss  23.225 | eps 0.050 | steps   91 | mem 3502/100000 | tries_since_last=0 | 181 ms
[buffer 100000] >>> SUCCESS #27 | ep 49 | score 9444.23 | last_reward 3000.0 | loss 27.059 | eps 0.050 | steps 88 | mem 3590/100000 | tries_since_last=0 | 194 ms
[buffer 100000] ep    49 | SUCCESS | score   9444.23 | last_reward 3000.0 | loss  27.059 | eps 0.050 | steps   88 | mem 3590/100000 | tries_since_last=0 | 194 ms
[buffer 100000] >>> SUCCESS #28 | ep 50 | score 9441.53 | last_reward 3000.0 | loss 24.287 | eps 0.050 | steps 88 | mem 3678/100000 | tries_since_last=0 | 175 ms
[buffer 100000] ep    50 | SUCCESS | score   9441.53 | last_reward 3000.0 | loss  24.287 | eps 0.050 | steps   88 | mem 3678/100000 | tries_since_last=0 | 175 ms
[buffer 100000] >>> SUCCESS #29 | ep 51 | score 9438.46 | last_reward 3000.0 | loss 28.454 | eps 0.050 | steps 88 | mem 3766/100000 | tries_since_last=0 | 170 ms
[buffer 100000] ep    51 | SUCCESS | score   9438.46 | last_reward 3000.0 | loss  28.454 | eps 0.050 | steps   88 | mem 3766/100000 | tries_since_last=0 | 170 ms
[buffer 100000] >>> SUCCESS #30 | ep 52 | score 9447.25 | last_reward 3000.0 | loss 22.134 | eps 0.050 | steps 88 | mem 3854/100000 | tries_since_last=0 | 198 ms
[buffer 100000] ep    52 | SUCCESS | score   9447.25 | last_reward 3000.0 | loss  22.134 | eps 0.050 | steps   88 | mem 3854/100000 | tries_since_last=0 | 198 ms
[buffer 100000] >>> SUCCESS #31 | ep 53 | score 9456.89 | last_reward 3000.0 | loss 21.061 | eps 0.050 | steps 88 | mem 3942/100000 | tries_since_last=0 | 166 ms
[buffer 100000] ep    53 | SUCCESS | score   9456.89 | last_reward 3000.0 | loss  21.061 | eps 0.050 | steps   88 | mem 3942/100000 | tries_since_last=0 | 166 ms
[buffer 100000] >>> SUCCESS #32 | ep 54 | score 9507.16 | last_reward 3000.0 | loss 50.585 | eps 0.050 | steps 89 | mem 4031/100000 | tries_since_last=0 | 162 ms
[buffer 100000] ep    54 | SUCCESS | score   9507.16 | last_reward 3000.0 | loss  50.585 | eps 0.050 | steps   89 | mem 4031/100000 | tries_since_last=0 | 162 ms
[buffer 100000] >>> SUCCESS #33 | ep 55 | score 9438.19 | last_reward 3000.0 | loss 47.180 | eps 0.050 | steps 88 | mem 4119/100000 | tries_since_last=0 | 157 ms
[buffer 100000] ep    55 | SUCCESS | score   9438.19 | last_reward 3000.0 | loss  47.180 | eps 0.050 | steps   88 | mem 4119/100000 | tries_since_last=0 | 157 ms
[buffer 100000] >>> SUCCESS #34 | ep 56 | score 9437.93 | last_reward 3000.0 | loss 26.622 | eps 0.050 | steps 88 | mem 4207/100000 | tries_since_last=0 | 163 ms
[buffer 100000] ep    56 | SUCCESS | score   9437.93 | last_reward 3000.0 | loss  26.622 | eps 0.050 | steps   88 | mem 4207/100000 | tries_since_last=0 | 163 ms
[buffer 100000] >>> SUCCESS #35 | ep 57 | score 9429.18 | last_reward 3000.0 | loss 23.721 | eps 0.050 | steps 89 | mem 4296/100000 | tries_since_last=0 | 156 ms
[buffer 100000] ep    57 | SUCCESS | score   9429.18 | last_reward 3000.0 | loss  23.721 | eps 0.050 | steps   89 | mem 4296/100000 | tries_since_last=0 | 156 ms
[buffer 100000] >>> SUCCESS #36 | ep 58 | score 9509.50 | last_reward 3000.0 | loss 25.187 | eps 0.050 | steps 89 | mem 4385/100000 | tries_since_last=0 | 164 ms
[buffer 100000] ep    58 | SUCCESS | score   9509.50 | last_reward 3000.0 | loss  25.187 | eps 0.050 | steps   89 | mem 4385/100000 | tries_since_last=0 | 164 ms
