
==== Running experiments with batch_size: 4 (fixed replay capacity=100000) ====
[batch 4] fail          | ep 0 | score 2782.9 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 58 | fails_since_last 1
[batch 128] >>> SUCCESS #69 | ep 90 | score 9442.5 | last_reward 3000.0 | loss 27.108 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #70 | ep 91 | score 9449.1 | last_reward 3000.0 | loss 27.992 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #71 | ep 92 | score 9488.6 | last_reward 3000.0 | loss 30.208 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #72 | ep 93 | score 9489.2 | last_reward 3000.0 | loss 31.930 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #73 | ep 94 | score 9492.5 | last_reward 3000.0 | loss 29.727 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #74 | ep 95 | score 9453.5 | last_reward 3000.0 | loss 33.326 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #75 | ep 96 | score 9443.8 | last_reward 3000.0 | loss 24.917 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #76 | ep 97 | score 9459.2 | last_reward 3000.0 | loss 24.953 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #77 | ep 98 | score 9443.1 | last_reward 3000.0 | loss 27.422 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #78 | ep 99 | score 9455.5 | last_reward 3000.0 | loss 26.488 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #79 | ep 100 | score 9481.1 | last_reward 3000.0 | loss 30.982 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #80 | ep 101 | score 9459.1 | last_reward 3000.0 | loss 26.894 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #81 | ep 102 | score 9453.6 | last_reward 3000.0 | loss 28.776 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #82 | ep 103 | score 9458.7 | last_reward 3000.0 | loss 31.334 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #83 | ep 104 | score 9451.0 | last_reward 3000.0 | loss 31.562 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #84 | ep 105 | score 9440.3 | last_reward 3000.0 | loss 31.165 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #85 | ep 106 | score 9439.9 | last_reward 3000.0 | loss 32.625 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #86 | ep 107 | score 9456.7 | last_reward 3000.0 | loss 28.416 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #87 | ep 108 | score 9458.2 | last_reward 3000.0 | loss 25.972 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #88 | ep 109 | score 9437.3 | last_reward 3000.0 | loss 26.355 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #89 | ep 110 | score 9461.5 | last_reward 3000.0 | loss 27.438 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #90 | ep 111 | score 9437.3 | last_reward 3000.0 | loss 26.783 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #91 | ep 112 | score 9462.2 | last_reward 3000.0 | loss 25.033 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #92 | ep 113 | score 9449.9 | last_reward 3000.0 | loss 31.453 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #93 | ep 114 | score 9439.5 | last_reward 3000.0 | loss 36.555 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #94 | ep 115 | score 9451.3 | last_reward 3000.0 | loss 25.136 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #95 | ep 116 | score 9447.8 | last_reward 3000.0 | loss 27.014 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #96 | ep 117 | score 9448.7 | last_reward 3000.0 | loss 29.636 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #97 | ep 118 | score 9460.5 | last_reward 3000.0 | loss 28.531 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #98 | ep 119 | score 9440.4 | last_reward 3000.0 | loss 25.069 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #99 | ep 120 | score 9451.1 | last_reward 3000.0 | loss 40.046 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #100 | ep 121 | score 9443.7 | last_reward 3000.0 | loss 50.085 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)

==== Running experiments with batch_size: 1280 (fixed replay capacity=100000) ====
[batch 1280] fail          | ep 0 | score 4910.4 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 94 | fails_since_last 1
[batch 1280] fail          | ep 1 | score 3855.3 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 70 | fails_since_last 2
[batch 1280] fail          | ep 2 | score 5271.4 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 104 | fails_since_last 3
[batch 1280] fail          | ep 3 | score 1854.9 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 53 | fails_since_last 4
[batch 1280] fail          | ep 4 | score 5723.0 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 100 | fails_since_last 5
[batch 1280] fail          | ep 5 | score 3792.6 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 78 | fails_since_last 6
[batch 1280] fail          | ep 6 | score 1987.6 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 90 | fails_since_last 7
[batch 1280] fail          | ep 7 | score 1857.1 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 47 | fails_since_last 8
[batch 1280] fail          | ep 8 | score 3693.7 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 107 | fails_since_last 9
[batch 1280] fail          | ep 9 | score 2513.4 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 71 | fails_since_last 10
[batch 1280] fail          | ep 10 | score 839.0 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 41 | fails_since_last 11
[batch 1280] fail          | ep 11 | score 5846.7 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 156 | fails_since_last 12
[batch 1280] fail          | ep 12 | score 2164.5 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 73 | fails_since_last 13
[batch 1280] fail          | ep 13 | score 1323.5 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 72 | fails_since_last 14
[batch 1280] >>> SUCCESS #1 | ep 14 | score 9477.2 | last_reward 3000.0 | loss 50.644 | eps 0.887 | steps 136 | attempts 15 (fails 14+1)
[batch 1280] fail          | ep 15 | score 1595.0 | last_reward -500.0 | loss 49.500 | eps 0.816 | steps 71 | fails_since_last 1
[batch 1280] fail          | ep 16 | score 5026.8 | last_reward -500.0 | loss 34.508 | eps 0.655 | steps 161 | fails_since_last 2
[batch 1280] fail          | ep 17 | score 509.9 | last_reward -500.0 | loss 18.859 | eps 0.627 | steps 28 | fails_since_last 3
[batch 1280] fail          | ep 18 | score 4243.7 | last_reward -500.0 | loss 14.545 | eps 0.550 | steps 77 | fails_since_last 4
[batch 1280] >>> SUCCESS #2 | ep 19 | score 9437.5 | last_reward 3000.0 | loss 10.260 | eps 0.459 | steps 91 | attempts 5 (fails 4+1)
[batch 1280] >>> SUCCESS #3 | ep 20 | score 9445.5 | last_reward 3000.0 | loss 10.630 | eps 0.362 | steps 97 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #4 | ep 21 | score 9485.0 | last_reward 3000.0 | loss 10.913 | eps 0.272 | steps 90 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #5 | ep 22 | score 9469.2 | last_reward 3000.0 | loss 11.766 | eps 0.183 | steps 89 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #6 | ep 23 | score 9510.8 | last_reward 3000.0 | loss 12.735 | eps 0.094 | steps 89 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #7 | ep 24 | score 9447.5 | last_reward 3000.0 | loss 14.198 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #8 | ep 25 | score 9442.7 | last_reward 3000.0 | loss 14.457 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #9 | ep 26 | score 9499.6 | last_reward 3000.0 | loss 15.422 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #10 | ep 27 | score 9451.0 | last_reward 3000.0 | loss 15.863 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #11 | ep 28 | score 9446.6 | last_reward 3000.0 | loss 16.602 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #12 | ep 29 | score 9452.3 | last_reward 3000.0 | loss 16.794 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #13 | ep 30 | score 9448.4 | last_reward 3000.0 | loss 17.885 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #14 | ep 31 | score 9458.4 | last_reward 3000.0 | loss 17.913 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #15 | ep 32 | score 9454.9 | last_reward 3000.0 | loss 18.239 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #16 | ep 33 | score 9451.5 | last_reward 3000.0 | loss 18.322 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #17 | ep 34 | score 9448.2 | last_reward 3000.0 | loss 19.874 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #18 | ep 35 | score 9445.3 | last_reward 3000.0 | loss 20.744 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #19 | ep 36 | score 9461.7 | last_reward 3000.0 | loss 20.238 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #20 | ep 37 | score 9462.9 | last_reward 3000.0 | loss 20.880 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #21 | ep 38 | score 9449.2 | last_reward 3000.0 | loss 21.077 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #22 | ep 39 | score 9506.3 | last_reward 3000.0 | loss 21.621 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #23 | ep 40 | score 9463.8 | last_reward 3000.0 | loss 20.480 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #24 | ep 41 | score 9440.7 | last_reward 3000.0 | loss 21.120 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #25 | ep 42 | score 9455.1 | last_reward 3000.0 | loss 21.688 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #26 | ep 43 | score 9477.6 | last_reward 3000.0 | loss 22.975 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #27 | ep 44 | score 9453.4 | last_reward 3000.0 | loss 22.503 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #28 | ep 45 | score 9462.2 | last_reward 3000.0 | loss 21.652 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #29 | ep 46 | score 9468.6 | last_reward 3000.0 | loss 22.379 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #30 | ep 47 | score 9465.7 | last_reward 3000.0 | loss 22.359 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #31 | ep 48 | score 9439.8 | last_reward 3000.0 | loss 32.456 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #32 | ep 49 | score 9507.5 | last_reward 3000.0 | loss 47.395 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #33 | ep 50 | score 9445.6 | last_reward 3000.0 | loss 26.608 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #34 | ep 51 | score 9444.3 | last_reward 3000.0 | loss 24.793 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #35 | ep 52 | score 9450.0 | last_reward 3000.0 | loss 22.508 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #36 | ep 53 | score 9458.6 | last_reward 3000.0 | loss 24.865 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #37 | ep 54 | score 9453.0 | last_reward 3000.0 | loss 24.966 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #38 | ep 55 | score 9463.8 | last_reward 3000.0 | loss 24.050 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #39 | ep 56 | score 9463.9 | last_reward 3000.0 | loss 24.475 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #40 | ep 57 | score 9455.0 | last_reward 3000.0 | loss 23.940 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #41 | ep 58 | score 9463.7 | last_reward 3000.0 | loss 25.169 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #42 | ep 59 | score 9464.8 | last_reward 3000.0 | loss 24.248 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #43 | ep 60 | score 9453.7 | last_reward 3000.0 | loss 24.787 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #44 | ep 61 | score 9454.2 | last_reward 3000.0 | loss 23.583 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #45 | ep 62 | score 9514.2 | last_reward 3000.0 | loss 24.776 | eps 0.050 | steps 92 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #46 | ep 63 | score 9454.4 | last_reward 3000.0 | loss 24.797 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #47 | ep 64 | score 9443.4 | last_reward 3000.0 | loss 25.604 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #48 | ep 65 | score 9451.6 | last_reward 3000.0 | loss 26.250 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #49 | ep 66 | score 9453.6 | last_reward 3000.0 | loss 25.577 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #50 | ep 67 | score 9506.8 | last_reward 3000.0 | loss 25.762 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #51 | ep 68 | score 9464.3 | last_reward 3000.0 | loss 25.936 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #52 | ep 69 | score 9512.0 | last_reward 3000.0 | loss 26.474 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #53 | ep 70 | score 9463.9 | last_reward 3000.0 | loss 26.702 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #54 | ep 71 | score 9453.6 | last_reward 3000.0 | loss 25.285 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #55 | ep 72 | score 9462.7 | last_reward 3000.0 | loss 24.899 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #56 | ep 73 | score 9455.0 | last_reward 3000.0 | loss 27.004 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #57 | ep 74 | score 9453.9 | last_reward 3000.0 | loss 27.156 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #58 | ep 75 | score 9455.3 | last_reward 3000.0 | loss 26.571 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #59 | ep 76 | score 9443.7 | last_reward 3000.0 | loss 26.186 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #60 | ep 77 | score 9464.4 | last_reward 3000.0 | loss 27.183 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #61 | ep 78 | score 9454.8 | last_reward 3000.0 | loss 27.216 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #62 | ep 79 | score 9455.3 | last_reward 3000.0 | loss 25.839 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #63 | ep 80 | score 9463.6 | last_reward 3000.0 | loss 27.878 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #64 | ep 81 | score 9455.0 | last_reward 3000.0 | loss 26.109 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #65 | ep 82 | score 9452.1 | last_reward 3000.0 | loss 37.416 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #66 | ep 83 | score 9445.7 | last_reward 3000.0 | loss 43.829 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #67 | ep 84 | score 9418.6 | last_reward 3000.0 | loss 27.123 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #68 | ep 85 | score 9433.9 | last_reward 3000.0 | loss 27.284 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #69 | ep 86 | score 9452.9 | last_reward 3000.0 | loss 26.023 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #70 | ep 87 | score 9445.3 | last_reward 3000.0 | loss 27.132 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #71 | ep 88 | score 9486.6 | last_reward 3000.0 | loss 25.772 | eps 0.050 | steps 91 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #72 | ep 89 | score 9488.6 | last_reward 3000.0 | loss 27.763 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #73 | ep 90 | score 9452.8 | last_reward 3000.0 | loss 27.077 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #74 | ep 91 | score 9454.7 | last_reward 3000.0 | loss 26.567 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #75 | ep 92 | score 9453.6 | last_reward 3000.0 | loss 27.069 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #76 | ep 93 | score 9446.6 | last_reward 3000.0 | loss 25.891 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #77 | ep 94 | score 9491.9 | last_reward 3000.0 | loss 25.890 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #78 | ep 95 | score 9497.9 | last_reward 3000.0 | loss 26.840 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #79 | ep 96 | score 9462.4 | last_reward 3000.0 | loss 26.944 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #80 | ep 97 | score 9441.5 | last_reward 3000.0 | loss 26.775 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #81 | ep 98 | score 9454.1 | last_reward 3000.0 | loss 27.689 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #82 | ep 99 | score 9441.3 | last_reward 3000.0 | loss 27.613 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #83 | ep 100 | score 9454.1 | last_reward 3000.0 | loss 27.256 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #84 | ep 101 | score 9463.7 | last_reward 3000.0 | loss 27.942 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #85 | ep 102 | score 9445.7 | last_reward 3000.0 | loss 26.812 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #86 | ep 103 | score 9509.4 | last_reward 3000.0 | loss 28.738 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #87 | ep 104 | score 9430.4 | last_reward 3000.0 | loss 27.767 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #88 | ep 105 | score 9448.0 | last_reward 3000.0 | loss 28.336 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #89 | ep 106 | score 9461.0 | last_reward 3000.0 | loss 29.297 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #90 | ep 107 | score 9513.1 | last_reward 3000.0 | loss 26.326 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #91 | ep 108 | score 9504.5 | last_reward 3000.0 | loss 27.605 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #92 | ep 109 | score 9441.7 | last_reward 3000.0 | loss 26.920 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #93 | ep 110 | score 9461.5 | last_reward 3000.0 | loss 26.925 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #94 | ep 111 | score 9460.2 | last_reward 3000.0 | loss 27.542 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #95 | ep 112 | score 9464.2 | last_reward 3000.0 | loss 26.983 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #96 | ep 113 | score 9451.7 | last_reward 3000.0 | loss 26.342 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #97 | ep 114 | score 9461.8 | last_reward 3000.0 | loss 26.964 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #98 | ep 115 | score 9511.5 | last_reward 3000.0 | loss 27.838 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #99 | ep 116 | score 9463.4 | last_reward 3000.0 | loss 42.191 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 1280] >>> SUCCESS #100 | ep 117 | score 9414.9 | last_reward 3000.0 | loss 38.703 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
